id;code;description;value;active;active_from;active_to
1;GENERAL;Se aplica por defecto a todos los productos y servicios;0.21;1;2016-02-07;NULL
2;REDUCIDO;Alimentos en general, transporte de viajeros, los árboles y arbustos frutales, las plantas hortícolas y las plantas aromáticas utilizadas como condimento;0.1;1;2016-02-07;NULL
3;SUPERRED;Pan, leche, huevos, frutas, verduras, hortalizas, cereales y quesos, libros, periódicos y revistas, medicamentos, sillas de ruedas y VPO.;0.4;1;2016-02-07;NULL
